Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,496.000000,509.600006,492.500000,493.899994,480.482880,6092231
2021-01-05,493.200012,501.399994,491.799988,500.799988,487.195435,4389098
2021-01-06,510.200012,511.399994,489.200012,505.000000,491.281342,9058315
2021-01-07,507.799988,510.272003,496.500000,499.299988,485.736176,6737773
2021-01-08,503.600006,505.799988,489.600006,500.600006,487.000885,11313346
2021-01-11,500.200012,502.200012,490.200012,496.399994,482.914978,10655263
2021-01-12,497.700012,499.799988,488.000000,494.100006,480.677460,10919459
2021-01-13,495.799988,497.500000,491.200012,493.799988,480.385590,8745157
2021-01-14,495.700012,501.799988,490.200012,501.600006,487.973724,7240858
2021-01-15,497.700012,499.000000,487.299988,495.600006,482.136719,8375200
2021-01-18,495.200012,496.100006,485.399994,488.000000,474.743164,3624482
2021-01-19,489.799988,495.000000,485.799988,485.799988,472.602905,5904832
2021-01-20,486.799988,494.000000,483.200012,491.399994,478.050781,6044692
2021-01-21,493.200012,496.299988,479.899994,479.899994,466.863190,5540299
2021-01-22,480.700012,483.100006,475.899994,479.100006,466.084930,12699880
2021-01-25,480.000000,482.000000,466.299988,471.200012,458.399567,5979913
2021-01-26,471.500000,476.399994,467.000000,470.100006,457.329437,14478094
2021-01-27,469.500000,480.899994,466.799988,476.500000,463.555573,7763191
2021-01-28,469.899994,477.700012,464.299988,471.899994,459.080536,4928456
2021-01-29,461.799988,469.399994,458.799988,462.100006,449.546753,8668533
2021-02-01,464.299988,469.899994,460.000000,469.500000,456.745728,8034669
2021-02-02,474.299988,477.799988,468.299988,476.100006,463.166443,6208619
2021-02-03,480.000000,481.695007,468.299988,471.899994,459.080536,4553716
2021-02-04,473.899994,478.799988,471.023987,477.500000,464.528412,5061852
2021-02-05,476.100006,477.299988,469.299988,474.000000,461.123474,5887336
2021-02-08,479.200012,480.399994,472.200012,472.600006,459.761505,3868043
2021-02-09,473.000000,481.500000,469.200012,479.799988,466.765900,4693729
2021-02-10,481.299988,483.500000,475.399994,480.000000,466.960480,11327282
2021-02-11,478.299988,483.600006,475.119995,479.299988,466.279480,4521555
2021-02-12,478.000000,481.000000,474.100006,480.000000,466.960480,4392999
2021-02-15,484.000000,487.600006,478.852997,485.500000,472.311066,5124702
2021-02-16,485.600006,492.200012,485.200012,485.899994,472.700195,9692834
2021-02-17,482.299988,484.179993,476.299988,481.899994,468.808868,7123094
2021-02-18,478.700012,481.399994,470.700012,472.000000,459.177826,6443703
2021-02-19,471.899994,474.700012,465.299988,465.299988,452.659821,7538980
2021-02-22,460.200012,473.399994,456.600006,471.799988,458.983246,5161144
2021-02-23,476.399994,486.100006,473.200012,485.500000,472.311066,14480890
2021-02-24,485.299988,497.000000,483.200012,496.000000,482.525848,9793706
2021-02-25,496.000000,506.799988,494.399994,501.600006,487.973724,13739561
2021-02-26,492.000000,499.100006,482.000000,483.899994,470.754547,18375219
2021-03-01,483.600006,495.100006,482.700012,489.700012,476.397003,12076090
2021-03-02,489.399994,501.929993,484.799988,495.500000,482.039429,8182311
2021-03-03,499.899994,504.200012,492.500000,499.100006,485.541626,5917000
2021-03-04,494.600006,501.000000,492.635986,497.399994,483.887787,6836460
2021-03-05,494.200012,497.899994,482.947998,483.500000,470.365417,9785473
2021-03-08,490.000000,496.399994,486.600006,496.399994,482.914978,5753246
2021-03-09,493.700012,503.799988,492.600006,498.899994,485.347046,8589111
2021-03-10,500.000000,508.028992,489.200012,500.399994,486.806305,8492946
2021-03-11,504.600006,505.200012,488.484009,493.500000,480.093750,7238159
2021-03-12,494.799988,503.399994,493.299988,502.000000,488.362854,5629227
2021-03-15,502.799988,510.799988,408.290009,507.200012,493.421600,6314784
2021-03-16,511.200012,513.799988,500.169006,503.200012,489.530243,7204854
2021-03-17,503.200012,504.399994,499.799988,501.000000,487.390015,9191281
2021-03-18,504.200012,505.600006,495.100006,497.100006,483.595947,5658940
2021-03-19,494.799988,501.600006,489.000000,489.500000,476.202423,17542489
2021-03-22,488.299988,493.200012,481.200012,488.299988,475.035004,6488630
2021-03-23,487.000000,501.000000,484.100006,500.000000,486.417175,8341789
2021-03-24,498.399994,506.399994,495.200012,499.899994,486.319885,4671601
2021-03-25,499.899994,501.097992,488.100006,492.799988,479.412750,5982334
2021-03-26,496.000000,501.000000,492.899994,494.000000,480.580170,4513385
2021-03-29,495.500000,501.000000,493.000000,499.000000,485.444336,5309518
2021-03-30,506.399994,516.000000,503.000000,513.000000,499.064026,8184570
2021-03-31,513.000000,514.896973,500.799988,505.000000,491.281342,12329732
2021-04-01,512.599976,516.799988,508.600006,510.399994,496.534637,5799234
2021-04-06,523.200012,523.799988,516.200012,521.599976,507.430359,5315409
2021-04-07,523.799988,528.799988,521.599976,526.200012,511.905457,5383139
2021-04-08,529.799988,530.599976,522.200012,526.799988,512.489136,5981522
2021-04-09,522.799988,523.200012,511.841003,515.000000,501.009705,9402079
2021-04-12,514.799988,515.200012,502.399994,505.000000,491.281342,8424561
2021-04-13,502.399994,503.600006,496.600006,502.600006,488.946564,8251978
2021-04-14,502.600006,516.799988,499.252991,515.000000,501.009705,7972842
2021-04-15,515.799988,525.599976,513.000000,522.799988,508.597778,6878454
2021-04-16,523.799988,527.400024,518.247986,522.000000,507.819519,8763710
2021-04-19,524.400024,525.799988,518.374023,523.000000,508.792358,6545564
2021-04-20,524.200012,530.599976,514.049011,518.000000,503.928192,9473947
2021-04-21,520.599976,528.599976,518.799988,526.400024,512.100037,9676276
2021-04-22,512.200012,515.599976,499.299988,499.899994,499.899994,13036346
2021-04-23,491.500000,499.600006,489.000000,496.299988,496.299988,9797228
2021-04-26,495.600006,499.600006,491.000000,498.299988,498.299988,5727971
2021-04-27,497.200012,498.100006,490.000000,494.500000,494.500000,5558146
2021-04-28,491.000000,499.500000,490.899994,497.399994,497.399994,5034794
2021-04-29,499.700012,502.000000,493.899994,497.899994,497.899994,4461185
2021-04-30,502.000000,509.044006,501.399994,506.200012,506.200012,8201569
2021-05-04,508.399994,510.399994,499.799988,500.000000,500.000000,7004976
2021-05-05,502.000000,503.799988,497.299988,500.000000,500.000000,7753244
2021-05-06,504.200012,506.399994,499.899994,504.399994,504.399994,4913139
2021-05-07,509.600006,510.000000,503.600006,508.000000,508.000000,4679809
2021-05-10,509.399994,513.599976,505.600006,513.200012,513.200012,5558043
2021-05-11,508.399994,514.000000,496.799988,503.600006,503.600006,9301946
2021-05-12,502.600006,510.399994,502.600006,510.000000,510.000000,8377636
2021-05-13,505.000000,508.847992,495.700012,507.600006,507.600006,7551066
2021-05-14,512.200012,525.799988,510.000000,525.400024,525.400024,10129958
2021-05-17,525.599976,527.809021,520.599976,522.799988,522.799988,10597712
2021-05-18,525.400024,529.200012,519.000000,520.400024,520.400024,6010947
2021-05-19,523.000000,523.000000,512.400024,519.799988,519.799988,11493933
2021-05-20,522.000000,523.599976,511.200012,516.200012,516.200012,17459093
2021-05-21,514.599976,523.000000,511.799988,519.799988,519.799988,5727383
2021-05-24,520.400024,522.255005,515.000000,521.599976,521.599976,2901735
2021-05-25,521.000000,523.398987,518.799988,520.000000,520.000000,7153170
2021-05-26,520.000000,526.400024,519.000000,523.799988,523.799988,6960468
2021-05-27,524.799988,47486.000000,521.799988,528.000000,528.000000,9653040
2021-05-28,532.599976,533.000000,525.599976,526.599976,526.599976,4873227
2021-06-01,525.799988,531.599976,524.000000,528.400024,528.400024,5769953
2021-06-02,527.400024,533.400024,526.799988,531.000000,531.000000,6337733
2021-06-03,531.400024,532.000000,529.000000,532.000000,532.000000,3590512
2021-06-04,532.400024,535.200012,527.968018,532.599976,532.599976,3083370
2021-06-07,535.000000,537.367004,529.200012,535.400024,535.400024,2299684
2021-06-08,534.599976,537.000000,531.000000,535.400024,535.400024,8424865
2021-06-09,534.200012,534.799988,529.200012,534.200012,534.200012,3373293
2021-06-10,535.799988,537.000000,531.200012,535.000000,535.000000,3379666
2021-06-11,533.599976,537.135010,530.200012,535.799988,535.799988,4744137
2021-06-14,538.200012,542.200012,533.799988,533.799988,533.799988,8816271
2021-06-15,537.400024,539.200012,533.400024,537.400024,537.400024,6055769
2021-06-16,537.599976,544.799988,536.000000,542.400024,542.400024,4863320
2021-06-17,539.599976,545.200012,535.200012,544.000000,544.000000,3687266
2021-06-18,545.799988,546.000000,534.000000,536.000000,536.000000,9580867
2021-06-21,532.400024,539.200012,527.200012,539.000000,539.000000,3577585
2021-06-22,539.799988,541.799988,535.799988,538.200012,538.200012,3922952
2021-06-23,540.000000,540.200012,532.799988,532.799988,532.799988,4533214
2021-06-24,534.799988,536.000000,529.799988,533.599976,533.599976,4007860
2021-06-25,534.599976,535.599976,527.976990,535.000000,535.000000,6295721
2021-06-28,532.200012,534.000000,525.400024,525.599976,525.599976,4748146
2021-06-29,525.000000,527.315002,522.200012,523.400024,523.400024,5507683
2021-06-30,522.599976,525.200012,514.656982,522.000000,522.000000,5451635
2021-07-01,526.200012,526.599976,520.400024,526.200012,526.200012,2580311
